date,pending,in_progress,done,total
2026-04-01,49,1,0,50
2026-04-02,48,1,1,50
2026-04-03,47,1,2,50
2026-04-04,46,1,3,50
2026-04-05,46,1,3,50
2026-04-06,46,1,3,50
2026-04-07,45,1,4,50
2026-04-08,44,1,5,50
2026-04-09,43,1,6,50
2026-04-10,42,1,7,50
2026-04-11,41,1,8,50
2026-04-12,41,1,8,50
2026-04-13,41,1,8,50
2026-04-14,40,1,9,50
2026-04-15,39,1,10,50
2026-04-16,38,1,11,50
2026-04-17,37,1,12,50
2026-04-18,36,1,13,50
2026-04-19,36,1,13,50
2026-04-20,36,1,13,50
2026-04-21,35,1,14,50
2026-04-22,34,1,15,50
2026-04-23,33,1,16,50
2026-04-24,32,1,17,50
2026-04-25,31,1,18,50
2026-04-26,31,1,18,50
2026-04-27,31,1,18,50
2026-04-28,30,1,19,50
2026-04-29,29,1,20,50
2026-04-30,28,1,21,50
2026-05-01,27,1,22,50
2026-05-02,26,1,23,50
2026-05-03,26,1,23,50
2026-05-04,26,1,23,50
2026-05-05,25,1,24,50
2026-05-06,24,1,25,50
2026-05-07,23,1,26,50
2026-05-08,22,1,27,50
2026-05-09,21,1,28,50
2026-05-10,21,1,28,50
2026-05-11,21,1,28,50
2026-05-12,20,1,29,50
