date,pending,in_progress,done,total
2026-04-01,249,1,0,250
2026-04-02,248,1,1,250
2026-04-03,247,1,2,250
2026-04-04,247,1,2,250
2026-04-05,247,1,2,250
2026-04-06,245,2,3,250
2026-04-07,243,2,5,250
2026-04-08,241,2,7,250
2026-04-09,238,3,9,250
2026-04-10,235,3,12,250
2026-04-11,235,3,12,250
2026-04-12,235,3,12,250
2026-04-13,232,3,15,250
2026-04-14,228,4,18,250
2026-04-15,224,4,22,250
2026-04-16,220,4,26,250
2026-04-17,215,5,30,250
2026-04-18,215,5,30,250
2026-04-19,215,5,30,250
2026-04-20,210,5,35,250
2026-04-21,205,5,40,250
2026-04-22,199,6,45,250
2026-04-23,193,6,51,250
2026-04-24,187,6,57,250
2026-04-25,187,6,57,250
2026-04-26,187,6,57,250
2026-04-27,180,7,63,250
2026-04-28,173,7,70,250
2026-04-29,166,7,77,250
2026-04-30,158,8,84,250
2026-05-01,150,8,92,250
2026-05-02,150,8,92,250
2026-05-03,150,8,92,250
2026-05-04,142,8,100,250
2026-05-05,133,9,108,250
2026-05-06,124,9,117,250
2026-05-07,115,9,126,250
2026-05-08,105,10,135,250
2026-05-09,105,10,135,250
2026-05-10,105,10,135,250
2026-05-11,95,10,145,250
2026-05-12,85,10,155,250
