date,pending,in_progress,done,total
2026-04-01,49,1,0,50
2026-04-02,48,1,1,50
2026-04-03,47,1,2,50
2026-04-04,46,1,3,50
2026-04-05,45,1,4,50
2026-04-06,44,1,5,50
2026-04-07,43,1,6,50
2026-04-08,42,1,7,50
2026-04-09,41,1,8,50
2026-04-10,40,1,9,50
2026-04-11,39,1,10,50
2026-04-12,38,1,11,50
2026-04-13,37,1,12,50
2026-04-14,36,1,13,50
2026-04-15,35,1,14,50
2026-04-16,34,1,15,50
2026-04-17,33,1,16,50
2026-04-18,32,1,17,50
2026-04-19,31,1,18,50
2026-04-20,30,1,19,50
2026-04-21,29,1,20,50
2026-04-22,28,1,21,50
2026-04-23,27,1,22,50
2026-04-24,26,1,23,50
2026-04-25,25,1,24,50
2026-04-26,24,1,25,50
2026-04-27,23,1,26,50
2026-04-28,22,1,27,50
2026-04-29,21,1,28,50
2026-04-30,20,1,29,50
2026-05-01,19,1,30,50
2026-05-02,18,1,31,50
2026-05-03,17,1,32,50
2026-05-04,16,1,33,50
2026-05-05,15,1,34,50
2026-05-06,14,1,35,50
2026-05-07,13,1,36,50
2026-05-08,12,1,37,50
2026-05-09,11,1,38,50
2026-05-10,10,1,39,50
2026-05-11,9,1,40,50
2026-05-12,8,1,41,50
